"State","totalHighestOffice","votingEligiblePop","vepHighestOffice","Pop"
"New Jersey","5008000","5921000","0.8458","9388414"
"Minnesota","3436000","4142000","0.8296","5787008"
"Mississippi","1749000","2177000","0.8034","2960075"
"Oregon","2590000","3242000","0.7989","4318492"
"Maryland","3383000","4303000","0.7862","6257958"
"New Hampshire","843000","1077000","0.7827","1389741"
"Montana","641000","827000","0.7751","1103187"
"Maine","832000","1075000","0.7740","1369159"
"North Dakota","429000","556000","0.7716","800394"
"Ohio","6733000","8740000","0.7704","11852036"
"Wisconsin","3391000","4421000","0.7670","5935064"
"Arizona","3878000","5075000","0.7641","7303398"
"Pennsylvania","7337000","9621000","0.7626","13062764"
"Virginia","4541000","5974000","0.7601","8757467"
"Iowa","1742000","2293000","0.7597","3219171"
"Kentucky","2450000","3227000","0.7592","4539130"
"Missouri","3388000","4475000","0.7571","6188111"
"Delaware","542000","722000","0.7507","1008350"
"Washington","4029000","5389000","0.7476","7901429"
"Illinois","6590000","8860000","0.7438","12808884"
"Tennessee","3742000","5038000","0.7428","7023788"
"Alaska","383000","516000","0.7422","738023"
"Rhode Island","575000","776000","0.7410","1106341"
"Michigan","5513000","7467000","0.7383","10116069"
"Connecticut","1850000","2524000","0.7330","3612314"
"Vermont","365000","500000","0.7300","646545"
"Massachusetts","3546000","4897000","0.7241","7126375"
"Texas","13343000","18581000","0.7181","29945493"
"Colorado","2993000","4200000","0.7126","5922618"
"Nebraska","971000","1369000","0.7093","1988536"
"Kansas","1398000","1975000","0.7078","2954832"
"Georgia","5233000","7400000","0.7072","10916760"
"New York","9370000","13298000","0.7046","20365879"
"South Carolina","2713000","3878000","0.6996","5217037"
"North Carolina","5161000","7391000","0.6983","10620168"
"California","18001000","25946000","0.6938","39995077"
"Indiana","3412000","4921000","0.6934","6845874"
"Wyoming","296000","427000","0.6932","579495"
"Louisiana","2286000","3299000","0.6929","4682633"
"Idaho","900000","1299000","0.6928","1893410"
"Hawaii","673000","980000","0.6867","1474265"
"New Mexico","1028000","1498000","0.6862","2129190"
"Alabama","2527000","3716000","0.6800","5073187"
"Utah","1468000","2178000","0.6740","3373162"
"South Dakota","437000","649000","0.6733","901165"
"West Virginia","928000","1379000","0.6730","1781860"
"Oklahoma","1884000","2800000","0.6729","4000953"
"Florida","10495000","15645000","0.6708","22085563"
"Nevada","1455000","2198000","0.6620","3185426"
"Arkansas","1361000","2195000","0.6200","3030646"